title,description
"id attribute value must be unique: <ul class=""subnav2"" id=""subnav2_405"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav2_405"
"id attribute value must be unique: <ul class=""subnav2"" id=""subnav2_412"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav2_412"
"id attribute value must be unique: <div class=""content-bloc home-header"" id=""content-bloc1"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: content-bloc1"
"id attribute value must be unique: <div class=""content-bloc"" id=""content-bloc1b"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: content-bloc1b"
"id attribute value must be unique: <div id=""listS1Container"" class=""shortcuts owl-carousel owl-theme owl-loaded owl-drag"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: listS1Container"
"id attribute value must be unique: <div class=""listS1ItemContainer"" id=""listS1ItemContainer24"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: listS1ItemContainer24"
"id attribute value must be unique: <div class=""listS1ItemContainer"" id=""listS1ItemContainer21"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: listS1ItemContainer21"
"id attribute value must be unique: <div class=""listS1ItemContainer"" id=""listS1ItemContainer22"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: listS1ItemContainer22"
"id attribute value must be unique: <div class=""listS1ItemContainer"" id=""listS1ItemContainer23"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: listS1ItemContainer23"
"id attribute value must be unique: <div class=""listS1ItemContainer"" id=""listS1ItemContainer25"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: listS1ItemContainer25"
"id attribute value must be unique: <div class=""listS1ItemContainer"" id=""listS1ItemContainer20"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: listS1ItemContainer20"
"id attribute value must be unique: <div class=""col-md-2"" id=""col1"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: col1"
"Images must have alternate text: <img src=""/contentFiles/images/icone2.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/accueil/CARROUSSEL_accueil_accompagne.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/icone3_v2.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/accueil/CARROUSSEL_accueil_taxes_exemption.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/icone1.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/A14558_Caroussel_Enquetes_Poursuites_639x591.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/icone7.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/accueil/shortcut-ethique-deontologie.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/icone1.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/accueil/image_formation_website.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/icone1.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/accueil/shortcut-audit-municipal.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/icone2.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/accueil/CARROUSSEL_accueil_accompagne.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/icone3_v2.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/accueil/CARROUSSEL_accueil_taxes_exemption.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/icone1.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/A14558_Caroussel_Enquetes_Poursuites_639x591.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/icone7.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/accueil/shortcut-ethique-deontologie.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/icone1.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/icone1.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/accueil/image_formation_website.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Links must have discernible text: <a href=""fr/enquetes-et-poursuites/le-mandat"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Images must have alternate text: <img src=""/contentFiles/images/accueil/shortcut-audit-municipal.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/icone2.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/guides/video-1.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/guides/guide-procedure-traitement-divulgations-actes-reprehensibles.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""/contentFiles/images/guides/guide-5-thumb.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Links must have discernible text: <a href=""fr/tribunal-administratif/ethique-et-deontologie-municipales"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Images must have alternate text: <img src=""/contentFiles/images/guides/video-2-thumb.jpg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""img/icon-calendar.svg"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Images must have alternate text: <img src=""img/logo-quebec.png"">","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Links must have discernible text: <a href=""https://www.cmq.gouv.qc.ca/fr/service-en-ligne-et-publications/ethique/formation-en-ethique"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""fr/verification-municipale/l-abc-de-l-audit-municipal"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""fr/mediation-et-mandats-speciaux/accompagnement"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""fr/tribunal-administratif/exemption-de-taxes-municipales-et-revision"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""fr/enquetes-et-poursuites/le-mandat"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""fr/tribunal-administratif/exemption-de-taxes-municipales-et-revision"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""https://www.cmq.gouv.qc.ca/fr/service-en-ligne-et-publications/ethique/formation-en-ethique"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""fr/verification-municipale/l-abc-de-l-audit-municipal"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""fr/mediation-et-mandats-speciaux/accompagnement"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""https://www.cmq.gouv.qc.ca/fr/service-en-ligne-et-publications/ethique/formation-en-ethique"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""fr/verification-municipale/l-abc-de-l-audit-municipal"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""fr/tribunal-administratif/ethique-et-deontologie-municipales"">","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""https://www.linkedin.com/company/commission-municipale-du-quebec/"" target=""_blank""><i class=""fab fa-linkedin-in"" aria-hidden=""true""></i></a>","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""https://twitter.com/Gouv_CMQ"" target=""_blank""><i class=""fab fa-twitter"" aria-hidden=""true""></i></a>","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"Links must have discernible text: <a href=""https://www.quebec.ca"" target=""_blank""><img src=""img/logo-quebec.png""></a>","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"ARIA role should be appropriate for the element: <button type=""button"" role=""presentation"" class=""owl-prev""><span aria-label=""Previous"">‹</span></button>","Fix any of the following:
  ARIA role presentation is not allowed for given element"
"ARIA role should be appropriate for the element: <button type=""button"" role=""presentation"" class=""owl-next""><span aria-label=""Next"">›</span></button>","Fix any of the following:
  ARIA role presentation is not allowed for given element"
"ARIA role should be appropriate for the element: <button type=""button"" role=""presentation"" class=""owl-prev""><span aria-label=""Previous"">‹</span></button>","Fix any of the following:
  ARIA role presentation is not allowed for given element"
"ARIA role should be appropriate for the element: <button type=""button"" role=""presentation"" class=""owl-next""><span aria-label=""Next"">›</span></button>","Fix any of the following:
  ARIA role presentation is not allowed for given element"
"Document should have one main landmark: <html lang=""fr"">","Fix all of the following:
  Document does not have a main landmark"
"Ensures landmarks are unique: <nav class=""second-nav"" role=""navigation"">","Fix any of the following:
  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable"
"Zooming and scaling should not be disabled: <meta name=""viewport"" content=""width=device-width, initial-scale=1, minimum-scale=1, maximum-scale=1, user-scalable=no"">","Fix any of the following:
  user-scalable=no on <meta> tag disables zooming on mobile devices"
"Elements of role none or presentation should be flagged: <button type=""button"" role=""presentation"" class=""owl-prev""><span aria-label=""Previous"">‹</span></button>","Fix all of the following:
  Element is not focusable."
"Elements of role none or presentation should be flagged: <button type=""button"" role=""presentation"" class=""owl-next""><span aria-label=""Next"">›</span></button>","Fix all of the following:
  Element is not focusable."
"Elements of role none or presentation should be flagged: <button type=""button"" role=""presentation"" class=""owl-prev""><span aria-label=""Previous"">‹</span></button>","Fix all of the following:
  Element is not focusable."
"Elements of role none or presentation should be flagged: <button type=""button"" role=""presentation"" class=""owl-next""><span aria-label=""Next"">›</span></button>","Fix all of the following:
  Element is not focusable."
"All page content should be contained by landmarks: <span id=""specialInfoBtn"" onclick=""closeSpecialInfo()""><i class=""fas fa-info-circle"" aria-hidden=""true""></i> COVID-19 : Informations sur nos services</span>","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <h1 class=""""><p><span style=""font-size:68px;"">Bienvenue</span></p>

<p><span style=""font-size:27px;"">à la Commission municipale du Québec</span></p>
</h1>","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <p>Faire une<br>
divulgation<br>
en ligne</p>","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <p>Demander<br>
une exemption<br>
de taxes</p>","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer24"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer21"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer22"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer23"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer25"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer20"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer24"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer21"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer22"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer23"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer25"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer20"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer24"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemContainer"" id=""listS1ItemContainer21"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""row"">
                <div class=""col-md-12""><h2>Nouvelles</h2></div>
            </div>","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemInfos"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <a href=""fr/la-commission/salle-de-presse/la-commission-municipale-rend-publics-ses-deux-rapports-d-audit-sur-la-transmission-des-rapports-financiers"">Consulter</a>","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemInfos"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <a href=""fr/la-commission/salle-de-presse/la-commission-municipale-publie-un-portrait-des-municipalites-regionales-de-comte-mrc"">Consulter</a>","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemInfos"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <a href=""fr/la-commission/salle-de-presse/la-commission-municipale-du-quebec-rend-public-un-rapport-d-audit-d-envergure-sur-le-programme-triennal-d-immobilisations-"">Consulter</a>","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <div class=""listS1ItemInfos"">","Fix any of the following:
  Some page content is not contained by landmarks"
"All page content should be contained by landmarks: <a href=""fr/la-commission/salle-de-presse/la-commission-municipale-se-rejouit-de-l-adoption-du-projet-de-loi-49"">Consulter</a>","Fix any of the following:
  Some page content is not contained by landmarks"
